Constructors,constructor_mean_GMS,puzzle_count_GMS
Ekua Ewool,-11.0,1
Elise Corbin,-22.0,1
Elizabeth A. Long,-10.0,1
Ella Dershowitz,-10.5,4
Ella Dershowitz and Aimee Lucido,-16.0,4
Ellen Leuschner,-21.0,1
Ellis Hay,8.5,2
Emet Ozar,-5.0,1
Emily Carroll,-8.88,16
Emily Rourke,-21.5,2
Emma Craven-Matthews,-17.0,1
Enrique Henestroza Anguiano,-20.6,5
Eric Berlin,-9.33,3
Eric Berlin and Weird Al Yankovic,-1.0,1
Eric Bornstein,-14.78,9
Eric Bornstein and Anne Marie Crinnion ,-17.0,1
Eric Bornstein and Lori Bornstein,6.0,1
Eric Rollfing,-9.0,2
Eric Warren,11.0,1
Erica Hsiung Wojcik,-10.67,3
Erik Agard,-19.07,28
Erik Agard and Alison Ohringer,-30.0,2
Erik Agard and Amanda Chung and Karl Ni,-16.0,3
Erik Agard and Andy Kravis,-25.67,6
Erik Agard and Anna Gundlach,-8.0,1
Erik Agard and Anne Flinchbaugh,-16.0,1
Erik Agard and Brooke Husic,14.5,2
Erik Agard and Bruce Haight,-4.0,1
Erik Agard and Caitlin Reid,-12.0,2
Erik Agard and Claire Rimkus,-6.0,1
Erik Agard and Doug Peterson,10.0,1
Erik Agard and Emily Carroll,-30.0,1
Erik Agard and Joon Pahk,3.0,1
Erik Agard and Kevin G. Der,80.0,1
Erik Agard and Malaika Handa,9.0,1
Erik Agard and Mary Lou Guizzo,9.5,2
Erik Agard and Miriam Estrin,6.0,1
Erik Agard and Neville Fogarty,-45.0,1
Erik Agard and Paolo Pasco,-21.0,2
Erik Agard and Wendy L. Brandes,-30.0,1
Erik Agard and Wyna Liu,2.5,2
Erik Agard and Yacob Yonas,-14.5,2
Erika Ettin,-21.5,2
Esha Datta,-40.0,1
Ethan Cooper,-29.0,1
Evan Kalish,-21.4,15
Evan Kalish and Caitlin Reid,-5.0,1
Evan Kalish and David Harris,-22.0,1
Evan Mahnken,-19.78,9
Evans Clinchy,-7.0,2
Finn Vigeland,-7.83,5
Fiona Taylor,-14.0,1
Francis Heaney,-25.5,2
Frank Longo,31.0,1
Fred Piscop,-9.5,2
Freddie Cheng,-11.62,8
Gareth Bain,1.0,1
Garrett Chalfin,-5.0,4
Gary Cee,-0.86,7
Gary Larson,4.4,5
Gia Bosko,-4.5,4
Gina Turner,-18.0,1
Grant Boroughs,-13.5,2
Grant Thackray,-12.58,12
Greg Johnson,-5.67,3
Greg Slovacek,35.0,1
Guilherme Gilioli,-10.33,3
Gustie Owens,-20.0,1
Hal Moore,-16.0,6
Hanh Huynh,-6.0,1
Hannah Slovut,-5.0,1
Helen Chen,-39.0,1
Hemant Mehta,-9.8,5
Herre Schouwerwou,6.0,1
Hoang-Kim Vu,-19.67,3
Hoang-Kim Vu and Jessica Zetzman,-18.0,3
Howard Barkin,-27.5,6
Ian Rathkey,1.0,1
Jack Mowat,-11.0,1
Jack Murtagh,-12.67,3
Jack Reuter,-1.0,1
Jacob McDermott,13.0,3
Jacob Stulberg,1.33,9
Jake Halperin,-8.88,8
Jakob Weisblat,-21.0,1
Jakob Weisblat and Gabrielle Friedman,-16.0,1
James Mulhern and Ashton Anderson,23.0,1
Jamey Smith,-8.5,4
Jared Goudsmit,-13.0,1
Jason Flinn,15.0,1
Jason Mueller,-8.0,1
Jason Reich,-1.0,1
Jay Kaskel and Daniel Kantor,-8.0,1
Jay Silverman,18.0,1
Jeff Chen,-5.36,14
Jeff Chen and  Michael Baker,-11.0,1
Jeff Chen and Aaron M. Rosenberg,-7.0,1
Jeff Chen and Amy Yanni,-2.0,1
Jeff Chen and Bill Pipal,-14.0,1
Jeff Chen and Celeste Watts ,-2.0,1
Jeff Chen and Chase Dittrich ,-14.67,3
Jeff Chen and Christina Iverson,-12.5,2
Jeff Chen and Daniel Bodily,-9.0,3
Jeff Chen and Erik Agard,7.0,1
Jeff Chen and Ezra Brauner,-24.0,1
Jeff Chen and Francesca Goldston,-8.0,1
Jeff Chen and Jack Mowat,-7.0,1
Jeff Chen and Jason Mueller,-24.0,1
Jeff Chen and Jeffrey Martinovic,-17.0,1
Jeff Chen and Jim Horne,-11.0,3
Jeff Chen and Johanna Fenimore,-8.0,1
Jeff Chen and John E. Bennett,-13.5,1
Jeff Chen and John Ewbank,-1.0,1
Jeff Chen and John Guzzetta,-34.0,1
Jeff Chen and John-Clark Levin,26.0,1
Jeff Chen and Josh Radnor,-3.0,1
Jeff Chen and Juliana Tringali Golden,11.0,1
Jeff Chen and Lee Higbie,-10.0,1
Jeff Chen and Lewis Rothlein,14.33,3
Jeff Chen and Lisa Senzel,-18.5,2
Jeff Chen and Mary Lou Guizzo,7.5,4
Jeff Chen and Matthew Sewell,-5.0,1
Jeff Chen and Michael Blake ,-27.0,1
Jeff Chen and Neil Padrick Wilson,-20.0,1
Jeff Chen and Owen Travis,-29.0,1
Jeff Chen and Priscilla Clark,-10.0,1
Jeff Chen and Sam Koperwas,2.0,2
Jeff Chen and Sande Milton,-20.5,2
Jeff Chen and Scot Ober,-30.0,1
Jeff Chen and Sophia Maymudes,-14.0,1
Jeff Chen and Taylor Johnson,-6.0,1
Jeff Chen and Tracy Gray,-18.5,2
Jeff Chen and Zachary David Levy,-23.0,1
Jeff Kremer,-6.0,1
Jeff McDermott,-21.0,1
Jeff Stillman,9.0,5
Jeffrey Lease,-11.0,1
Jeffrey Wechsler,5.0,4
Jem Burch,-12.25,4
